,Model,Training Corpus,Evaluation Corpus,Topics,Dimensions,Algorithm,N-Grams,mAR,recall@5,mAP,precision@5,f1
./results/trainedOnCorpustrained_skipGram_v300_ConRel_Cossim,Word2Vec,Concepts & Relations,Concepts & Relations,-,300,Skip-Gram,-,0.6808901220245184,0.3808648336527593,0.2182188663993965,0.424,0.3305118122135439
./results/trainedOnCorpustrainedLDAConceptsAndRelationsCossim-80topics,LDA,Concepts & Relations,Concepts & Relations,80,-,-,-,0.3563959265811589,0.30173620325323114,0.3901922363549763,0.444,0.3725291412968788
./results/trainedOnCorpusdoc2vec_v200_ConRel_Cossim,Doc2Vec,Concepts & Relations,Concepts & Relations,-,200,-,-,0.674752409492812,0.3435949923829181,0.2216378557155316,0.3720000000000001,0.3336731398887198
./results/trainedOnCorpustfidf_BiTri_Con,TF-IDF,Concepts,Concepts,-,-,-,Bigrams and Trigrams,0.6378424227234752,0.39504759447638704,0.22663397611204555,0.42,0.3344377350023303
./results/trainedOnCorpustrained_skipGram_v300_Con_Cossim_cossim,Word2Vec,Concepts,Concepts,-,300,Skip-Gram,-,0.6964811055542326,0.39136483365275937,0.22293990804102884,0.432,0.3377635084005763
./results/trainedOnCorpusBM25PlusConcepts,BM25,Concepts,Concepts,-,-,-,-,0.597807309412294,0.2662176670938281,0.1652172083030584,0.244,0.2588856648014224
./results/trainedOnCorpusdoc2vec_v100_ConRel_Cossim,Doc2Vec,Concepts & Relations,Concepts & Relations,-,100,-,-,0.6735271326506309,0.32289051059020096,0.2222914476097117,0.3600000000000001,0.3342625942806761
./results/trainedOnCorpustrainedLDAConceptsAndRelationsCossim-20topics,LDA,Concepts & Relations,Concepts & Relations,20,-,-,-,0.4071098386993123,0.2093717948717949,0.18743805752970294,0.21066666666666667,0.25669211126982644
./results/trainedOnCorpustrained_cbow_v100_Sent_Cossim,Word2Vec,Sentences,Sentences,-,100,CBOW,-,0.6668239944884837,0.3231683450708218,0.2077012324017868,0.332,0.31674367117535057
./results/trainedOnCorpusdoc2vec_v300_Sent_Cossim,Doc2Vec,Sentences,Sentences,-,300,-,-,0.6138682506038853,0.19437802840434412,0.1696662988072557,0.18,0.2658536349508041
./results/trainedOnCorpustrained_skipGram_v300_Sent_Cossim_cossim,Word2Vec,Sentences,Sentences,-,300,Skip-Gram,-,0.6619030497813161,0.3338746942771711,0.20946093388194645,0.368,0.31822024675300625
./results/trainedOnCorpustfidf_UniBi_Sent,TF-IDF,Sentences,Sentences,-,-,-,Unigrams and Bigrams,0.630650229117288,0.3159708244971403,0.1950154193830626,0.328,0.29790877006621697
./results/trainedOnCorpusBM25PlusConceptsAndRelations,BM25,Concepts & Relations,Concepts & Relations,-,-,-,-,0.5947652790346908,0.2662176670938281,0.1649253381488105,0.244,0.2582416119015307
